City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Khash,28.2211,61.2158,51.51,27,0,2.55,IR,clear sky
79,Uruzgan,32.8333,66.0,35.29,35,4,8.61,AF,clear sky
80,Upernavik,72.7868,-56.1549,-18.69,99,64,5.59,GL,broken clouds
81,Nikolskoye,59.7035,30.7861,32.4,92,97,8.16,RU,overcast clouds
82,Sisimiut,66.9395,-53.6735,12.11,76,100,11.97,GL,overcast clouds
83,Bredasdorp,-34.5322,20.0403,59.65,81,0,3.42,ZA,clear sky
84,Dekar,-21.5333,21.9333,67.12,81,93,2.84,BW,light rain
85,Dapaong,10.8639,0.205,73.29,14,1,7.87,TG,clear sky
86,Codrington,-38.2667,141.9667,66.6,49,97,16.89,AU,overcast clouds
87,La Gomera,14.0833,-91.05,73.47,76,0,3.13,GT,clear sky
88,Yaan,7.3833,8.5667,74.73,11,2,7.72,NG,clear sky
89,Bara,10.3744,10.7288,62.11,19,40,7.83,NG,scattered clouds
90,Hobart,-42.8794,147.3294,75.02,42,40,10.36,AU,scattered clouds
91,Chuy,-33.6971,-53.4616,69.37,84,0,10.54,UY,clear sky
92,Thompson,55.7435,-97.8558,-23.28,90,91,9.6,CA,overcast clouds
93,Kondinskoye,59.6481,67.41,-5.12,88,6,11.5,RU,clear sky
94,Cairns,-16.9167,145.7667,93.29,71,26,9.22,AU,scattered clouds
95,Port Macquarie,-31.4333,152.9167,79.9,55,38,14.47,AU,scattered clouds
96,Khani,41.9563,42.9566,27.97,88,84,4.07,GE,broken clouds
97,Miri,4.4148,114.0089,79.9,83,97,6.17,MY,overcast clouds
98,Georgetown,5.4112,100.3354,84.13,83,20,3.44,MY,moderate rain
99,Iqaluit,63.7506,-68.5145,2.93,72,100,8.05,CA,light snow
100,Bonavista,48.6499,-53.1147,33.12,78,57,15.28,CA,broken clouds
101,Vestmanna,62.1564,-7.1664,36.52,70,75,20.71,FO,broken clouds
102,Dikson,73.5069,80.5464,5.74,93,100,26.49,RU,overcast clouds
103,Constitucion,-35.3333,-72.4167,60.35,61,100,3.62,CL,overcast clouds
104,Iracoubo,5.4802,-53.2011,75.69,89,88,9.01,GF,overcast clouds
