City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rafai,CF,2022-02-10 02:06:33,4.95,23.9167,69.78,32,91,2.33
68,Tiarei,PF,2022-02-10 02:04:10,-17.5333,-149.3333,86.0,77,23,14.54
69,Souillac,MU,2022-02-10 02:06:34,-20.5167,57.5167,73.78,94,40,2.3
70,Atuona,PF,2022-02-10 02:06:34,-9.8,-139.0333,78.55,76,10,17.49
71,Kudahuvadhoo,MV,2022-02-10 02:06:34,2.6708,72.8944,80.85,73,44,9.19
72,Tambura,SS,2022-02-10 02:06:35,5.6,27.4667,71.49,27,95,3.62
73,Broome,US,2022-02-10 02:06:35,42.2506,-75.833,42.21,63,100,6.91
74,Hermanus,ZA,2022-02-10 02:03:44,-34.4187,19.2345,66.9,87,99,7.05
75,Laguna,US,2022-02-10 02:03:00,38.421,-121.4238,67.82,58,0,1.01
76,Sur,OM,2022-02-10 02:06:35,22.5667,59.5289,66.56,65,3,2.24
77,Namibe,AO,2022-02-10 02:06:36,-15.1961,12.1522,72.1,84,99,7.52
78,Ust-Kulom,RU,2022-02-10 02:06:36,61.6864,53.6902,20.16,93,100,9.4
79,Bambous Virieux,MU,2022-02-10 02:06:36,-20.3428,57.7575,73.65,94,40,2.3
80,Adrar,MR,2022-02-10 02:02:05,20.5022,-10.0711,62.29,15,8,12.15
81,Cape Town,ZA,2022-02-10 02:06:37,-33.9258,18.4232,68.88,87,100,1.01
82,Kodiak,US,2022-02-10 02:06:37,57.79,-152.4072,20.71,42,0,14.97
83,Amapa,BR,2022-02-10 02:06:38,1.0,-52.0,71.42,99,47,2.44
84,Quatre Cocos,MU,2022-02-10 02:06:38,-20.2078,57.7625,73.51,77,89,5.84
85,Beloha,MG,2022-02-10 02:06:38,-25.1667,45.05,70.54,91,5,4.23
86,Kutoarjo,ID,2022-02-10 02:06:39,-7.7169,109.9128,79.99,80,100,3.13
87,Kapaa,US,2022-02-10 02:03:53,22.0752,-159.319,78.78,69,75,6.91
88,Kutahya,TR,2022-02-10 02:06:39,39.4242,29.9833,30.15,85,100,14.07
89,Oranjemund,NA,2022-02-10 02:06:39,-28.55,16.4333,63.34,90,3,7.18
90,Jamestown,US,2022-02-10 02:05:37,42.097,-79.2353,45.72,37,40,10.36
91,Mut,TR,2022-02-10 02:06:40,36.6439,33.4389,36.46,77,89,13.42
92,Antalaha,MG,2022-02-10 02:06:40,-14.9003,50.2788,74.71,92,70,4.29
93,Shingu,JP,2022-02-10 02:07:41,33.7333,135.9833,48.9,81,100,6.91
94,Bethel,US,2022-02-10 02:07:41,41.3712,-73.414,36.45,79,0,0.0
95,Hit,IQ,2022-02-10 02:07:41,33.6416,42.8251,59.86,46,88,12.44
96,Shakawe,BW,2022-02-10 02:07:42,-18.3667,21.85,66.65,89,6,2.66
97,Gladstone,AU,2022-02-10 02:03:06,-23.85,151.25,85.93,48,40,11.5
98,Mahebourg,MU,2022-02-10 02:07:42,-20.4081,57.7,73.69,94,40,2.3
99,Guerrero Negro,MX,2022-02-10 02:07:42,27.9769,-114.0611,63.77,55,0,9.19
100,Nikolskoye,RU,2022-02-10 02:07:43,59.7035,30.7861,36.88,98,100,10.83
101,Tuktoyaktuk,CA,2022-02-10 02:07:43,69.4541,-133.0374,-15.02,92,100,13.67
102,Port Hardy,CA,2022-02-10 02:07:43,50.6996,-127.4199,46.76,93,75,6.91
103,Thompson,CA,2022-02-10 02:07:44,55.7435,-97.8558,-15.14,99,60,2.53
104,Sinjai,ID,2022-02-10 02:03:55,-5.1241,120.253,76.33,91,100,3.74
105,Kruisfontein,ZA,2022-02-10 02:07:44,-34.0033,24.7314,61.3,76,0,5.93
106,Ust-Omchug,RU,2022-02-10 02:07:45,61.15,149.6333,-9.72,87,99,3.69
107,Linhares,BR,2022-02-10 02:07:45,-19.3911,-40.0722,72.61,97,43,3.42
108,Gushikawa,JP,2022-02-10 02:07:45,26.3544,127.8686,65.79,77,100,18.41
109,Olenino,RU,2022-02-10 02:07:46,56.2092,33.4889,29.17,97,100,9.53
110,Saskylakh,RU,2022-02-10 02:07:46,71.9167,114.0833,-0.47,90,99,13.47
111,Pangnirtung,CA,2022-02-10 02:07:46,66.1451,-65.7125,-20.31,97,100,5.59
112,Georgetown,MY,2022-02-10 02:07:47,5.4112,100.3354,82.33,81,20,0.0
113,Hearst,CA,2022-02-10 02:07:47,49.6835,-83.6665,26.89,96,100,8.05
114,Dikson,RU,2022-02-10 02:07:47,73.5069,80.5464,5.31,94,100,20.87
115,Vardo,NO,2022-02-10 02:07:48,70.3705,31.1107,29.21,77,100,19.55
116,Saint George,US,2022-02-10 02:04:00,37.1041,-113.5841,61.39,24,0,19.57
117,Sioux Lookout,CA,2022-02-10 02:07:48,50.1001,-91.917,8.98,91,100,9.26
118,Aykhal,RU,2022-02-10 02:07:48,66.0,111.5,-4.59,78,100,2.86
119,Airai,TL,2022-02-10 02:07:49,-8.9266,125.4092,71.37,76,80,0.92
120,Havelock,US,2022-02-10 02:07:49,34.8791,-76.9013,47.93,89,0,3.49
121,Sinop,TR,2022-02-10 02:07:49,41.7711,34.8709,29.34,94,90,4.79
122,Saint-Pierre,RE,2022-02-10 02:07:50,-21.3393,55.4781,73.08,68,40,6.91
123,La Ronge,CA,2022-02-10 02:07:50,55.1001,-105.2842,14.54,96,100,2.8
124,Victoria,HK,2022-02-10 02:05:26,22.2855,114.1577,65.95,84,97,3.0
125,Sao Joao Da Barra,BR,2022-02-10 02:07:50,-21.6403,-41.0511,68.59,96,100,9.69
126,Dubbo,AU,2022-02-10 02:03:09,-32.25,148.6167,89.73,20,9,8.05
127,Baillif,GP,2022-02-10 02:07:51,16.0202,-61.7463,75.63,75,6,10.27
128,Salamiyah,SY,2022-02-10 02:07:51,35.0113,37.0532,44.1,84,100,12.37
129,Ruhengeri,RW,2022-02-10 02:07:51,-1.4998,29.635,59.4,85,100,2.33
130,Manokwari,ID,2022-02-10 02:07:52,-0.8667,134.0833,78.53,81,100,5.66
131,Cururupu,BR,2022-02-10 02:07:52,-1.8283,-44.8683,74.26,94,67,2.3
132,Mar Del Plata,AR,2022-02-10 02:07:53,-38.0023,-57.5575,70.09,80,0,21.99
133,Bundaberg,AU,2022-02-10 02:07:53,-24.85,152.35,88.21,51,0,3.0
134,Severo-Kurilsk,RU,2022-02-10 02:07:53,50.6789,156.125,30.97,75,100,18.92
135,Shelburne,CA,2022-02-10 02:07:54,44.0787,-80.2041,36.27,88,100,12.17
136,Portland,US,2022-02-10 02:03:54,45.5234,-122.6762,55.6,78,40,4.0
137,Mishelevka,RU,2022-02-10 02:07:54,52.8575,103.1719,-6.47,95,100,8.55
138,Coihaique,CL,2022-02-10 02:07:54,-45.5752,-72.0662,50.61,66,0,3.44
139,Quelimane,MZ,2022-02-10 02:07:55,-17.8786,36.8883,76.95,88,0,0.0
140,Makakilo City,US,2022-02-10 02:08:55,21.3469,-158.0858,79.12,59,40,16.11
141,Espanola,US,2022-02-10 02:08:55,35.9911,-106.0806,42.78,57,25,4.09
142,Ahipara,NZ,2022-02-10 02:08:56,-35.1667,173.1667,79.63,68,100,11.9
143,Torbay,CA,2022-02-10 02:05:29,47.6666,-52.7314,34.57,91,16,14.0
144,Port Elizabeth,ZA,2022-02-10 02:08:56,-33.918,25.5701,64.54,81,12,7.92
145,Leningradskiy,RU,2022-02-10 02:08:56,69.3833,178.4167,-28.79,97,83,6.26
146,Iqaluit,CA,2022-02-10 02:08:57,63.7506,-68.5145,-25.31,67,82,5.99
147,Nanortalik,GL,2022-02-10 02:08:57,60.1432,-45.2371,20.07,69,77,7.78
148,Ulaangom,MN,2022-02-10 02:08:58,49.9811,92.0667,-17.86,99,100,0.54
149,North Vanlaiphai,IN,2022-02-10 02:08:58,23.1333,93.0667,50.77,41,1,2.06
150,Mogapinyana,BW,2022-02-10 02:08:58,-22.3667,27.6,71.26,67,40,2.42
151,Galesong,ID,2022-02-10 02:08:59,-5.3166,119.3661,84.22,81,100,9.78
152,Monaghan,IE,2022-02-10 02:08:59,54.25,-6.9667,34.39,79,77,11.9
153,Hailar,CN,2022-02-10 02:08:59,49.2,119.7,-0.11,92,100,6.17
154,Ponta Do Sol,PT,2022-02-10 02:08:59,32.6667,-17.1,69.71,34,100,3.8
155,Buraydah,SA,2022-02-10 02:09:00,26.326,43.975,60.08,32,0,11.88
156,Kuldur,RU,2022-02-10 02:09:00,49.2167,131.6333,12.02,87,100,3.18
157,Saldanha,ZA,2022-02-10 02:09:00,-33.0117,17.9442,64.4,93,38,3.06
158,Ilulissat,GL,2022-02-10 02:09:01,69.2167,-51.1,10.42,67,20,23.02
159,Watertown,US,2022-02-10 02:09:01,42.3709,-71.1828,37.11,70,0,10.36
160,Touros,BR,2022-02-10 02:09:02,-5.1989,-35.4608,81.5,71,78,8.81
161,Hay River,CA,2022-02-10 02:09:02,60.8156,-115.7999,-0.44,78,100,13.8
162,Bayir,TR,2022-02-10 02:09:02,37.2687,28.2167,39.72,82,5,9.4
163,Collie,AU,2022-02-10 02:09:03,-33.3667,116.15,76.98,31,1,8.21
164,Katsuura,JP,2022-02-10 02:09:03,35.1333,140.3,42.82,83,100,19.46
165,Castro,BR,2022-02-10 02:09:03,-24.7911,-50.0119,59.0,98,16,6.04
166,Nelson Bay,AU,2022-02-10 02:09:04,-32.7167,152.15,90.77,61,2,3.0
167,Bogorodskoye,RU,2022-02-10 02:09:04,56.55,37.8833,20.86,96,94,6.69
168,Klaksvik,FO,2022-02-10 02:06:13,62.2266,-6.589,32.92,61,100,20.42
169,Salawagan,PH,2022-02-10 02:09:05,7.7053,125.115,82.18,67,97,6.13
170,Poplar Bluff,US,2022-02-10 02:09:05,36.757,-90.3929,49.62,56,0,0.0
171,Winburg,ZA,2022-02-10 02:09:06,-28.518,27.0093,68.56,49,86,4.25
172,Auburn,US,2022-02-10 02:06:11,47.3073,-122.2284,52.45,81,75,5.75
173,Balikpapan,ID,2022-02-10 02:09:06,-1.2675,116.8289,79.79,89,40,4.61
174,Mount Gambier,AU,2022-02-10 02:09:06,-37.8333,140.7667,68.68,45,30,10.07
175,Grindavik,IS,2022-02-10 02:09:07,63.8424,-22.4338,23.47,68,0,5.75
176,Tonekabon,IR,2022-02-10 02:09:07,36.8163,50.8738,56.73,49,100,5.28
177,Lompoc,US,2022-02-10 02:06:30,34.6391,-120.4579,73.54,30,0,4.61
178,Macapa,BR,2022-02-10 02:09:08,0.0389,-51.0664,78.78,94,0,3.44
179,Chuy,UY,2022-02-10 02:09:08,-33.6971,-53.4616,65.37,77,0,8.5
180,Popondetta,PG,2022-02-10 02:09:09,-8.7537,148.2534,85.32,72,40,4.85
181,Talnakh,RU,2022-02-10 02:09:09,69.4865,88.3972,-5.8,98,100,10.58
182,Flinders,AU,2022-02-10 02:09:09,-34.5833,150.8552,91.8,55,35,4.0
183,Bratsk,RU,2022-02-10 02:09:10,56.1325,101.6142,-24.66,99,96,2.66
184,Acarau,BR,2022-02-10 02:10:10,-2.8856,-40.12,78.28,77,45,9.31
185,Trinidad,BO,2022-02-10 02:10:10,-14.8333,-64.9,74.61,77,100,0.72
186,Narsaq,GL,2022-02-10 02:10:11,60.9167,-46.05,16.02,70,98,9.66
187,Omboue,GA,2022-02-10 02:05:31,-1.5746,9.2618,78.62,89,100,5.75
188,Buchanan,LR,2022-02-10 02:10:11,5.8808,-10.0467,77.95,87,9,2.55
189,Port Macquarie,AU,2022-02-10 02:09:45,-31.4333,152.9167,87.89,46,0,6.82
190,Namatanai,PG,2022-02-10 02:10:12,-3.6667,152.4333,84.33,71,56,6.08
191,Inverell,AU,2022-02-10 02:10:12,-29.7833,151.1167,90.66,32,0,5.01
192,North Bend,US,2022-02-10 02:10:12,43.4065,-124.2243,59.23,92,0,12.66
193,Tuatapere,NZ,2022-02-10 02:09:13,-46.1333,167.6833,74.64,50,20,3.06
194,Ancud,CL,2022-02-10 02:10:13,-41.8697,-73.8203,53.42,73,90,9.22
195,Lunino,RU,2022-02-10 02:10:13,53.5918,45.2271,28.9,97,100,5.7
196,Bela,IN,2022-02-10 02:10:14,25.9333,81.9833,54.88,87,0,5.26
197,Ishigaki,JP,2022-02-10 02:10:14,24.3448,124.1572,68.85,82,25,16.24
198,Palmer,US,2022-02-10 02:10:15,42.1584,-72.3287,34.97,76,75,0.0
199,San Quintin,MX,2022-02-10 02:10:15,30.4833,-115.95,61.48,49,0,3.96
200,Bairiki,KI,2022-02-10 02:10:15,1.3292,172.9752,86.0,74,40,10.36
201,Dzerzhinsk,RU,2022-02-10 02:10:16,56.2389,43.4631,24.62,86,75,4.47
202,Tabou,CI,2022-02-10 02:10:16,4.423,-7.3528,78.51,87,12,5.82
203,Port Blair,IN,2022-02-10 02:10:17,11.6667,92.75,80.6,71,90,13.22
204,Nuuk,GL,2022-02-10 02:06:42,64.1835,-51.7216,21.81,93,100,8.05
205,Khatanga,RU,2022-02-10 02:10:17,71.9667,102.5,-3.98,94,78,14.14
206,Qaanaaq,GL,2022-02-10 02:10:18,77.484,-69.3632,-20.78,66,96,7.27
207,Ranong,TH,2022-02-10 02:10:18,9.9658,98.6348,80.91,75,64,3.8
208,Itajuba,BR,2022-02-10 02:10:18,-22.4256,-45.4528,66.76,84,99,2.89
209,Marzuq,YE,2022-02-10 02:10:19,14.4,46.4667,56.97,36,6,2.13
210,Nerchinskiy Zavod,RU,2022-02-10 02:10:19,51.3088,119.61,-7.91,97,94,3.6
211,Vilya,RU,2022-02-10 02:10:19,55.2456,42.2089,18.55,97,96,4.61
212,New Norfolk,AU,2022-02-10 02:10:20,-42.7826,147.0587,73.92,31,10,9.31
213,Muisne,EC,2022-02-10 02:10:20,0.6,-80.0333,76.41,85,93,3.49
214,Goure,NE,2022-02-10 02:10:20,13.9835,10.2704,61.11,8,2,9.1
215,Sarangani,PH,2022-02-10 02:10:21,5.4033,125.4636,81.9,76,100,19.71
216,Glendive,US,2022-02-10 02:10:21,47.1053,-104.7125,34.43,90,0,6.91
217,Egvekinot,RU,2022-02-10 02:10:22,66.3167,-179.1667,-22.52,89,31,5.7
218,Los Llanos De Aridane,ES,2022-02-10 02:10:22,28.6585,-17.9182,72.12,31,0,6.91
219,Santa Barbara,US,2022-02-10 02:10:22,34.7333,-120.0343,64.0,31,24,5.88
220,Ayagoz,KZ,2022-02-10 02:10:23,47.9714,80.4392,-2.27,98,100,6.85
221,Santa Maria Del Oro,MX,2022-02-10 02:10:23,25.9333,-105.3667,51.12,29,86,10.31
222,Chokurdakh,RU,2022-02-10 02:10:23,70.6333,147.9167,-20.9,98,100,11.97
223,Itanhem,BR,2022-02-10 02:10:24,-17.1664,-40.33,72.07,93,35,4.32
224,Kununurra,AU,2022-02-10 02:09:15,-15.7667,128.7333,89.58,62,78,5.75
225,Salisbury,GB,2022-02-10 02:08:57,51.0693,-1.7957,46.51,91,100,7.76
