City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Mae Sai,TH,76.35,broken clouds,20.4335,99.8762,
453,Maragogi,BR,77.99,overcast clouds,-9.0122,-35.2225,
455,Ugoofaaru,MV,81.09,scattered clouds,5.6667,73.0,
459,Kavaratti,IN,80.15,broken clouds,10.5669,72.642,
465,Moindou,NC,84.15,overcast clouds,-21.6924,165.677,
484,Pitimbu,BR,78.73,broken clouds,-7.4706,-34.8086,
487,Sola,VU,81.72,overcast clouds,-13.8833,167.55,
489,Launceston,AU,76.15,clear sky,-41.45,147.1667,
492,Labuan,MY,87.96,overcast clouds,5.2767,115.2417,
495,Kahului,US,76.26,scattered clouds,20.8947,-156.47,
497,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,
501,Edd,ER,77.63,clear sky,13.9297,41.6925,
503,Quatre Cocos,MU,82.09,clear sky,-20.2078,57.7625,
516,Yarada,IN,79.12,haze,17.65,83.2667,
519,Yanam,IN,77.4,broken clouds,16.7333,82.2167,
526,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,
527,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,
529,Gladstone,AU,84.13,clear sky,-23.85,151.25,
538,Ballina,AU,82.44,few clouds,-28.8667,153.5667,
540,Tucuman,AR,77.0,broken clouds,-26.8241,-65.2226,
549,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,
550,Samarai,PG,84.09,broken clouds,-10.6167,150.6667,
556,Champerico,GT,80.04,clear sky,14.3,-91.9167,
561,Takoradi,GH,77.7,clear sky,4.8845,-1.7554,
563,Road Town,VG,75.29,clear sky,18.4167,-64.6167,
566,Tabou,CI,78.04,scattered clouds,4.423,-7.3528,
575,Tadine,NC,83.1,overcast clouds,-21.55,167.8833,
590,Coffs Harbour,AU,82.36,scattered clouds,-30.3,153.1333,
593,Dakar,SN,83.28,scattered clouds,14.6937,-17.4441,
605,Manokwari,ID,82.92,overcast clouds,-0.8667,134.0833,
606,Buala,SB,82.2,moderate rain,-8.145,159.5921,
611,Santo Amaro Da Imperatriz,BR,77.77,overcast clouds,-27.6881,-48.7786,
616,Bima,ID,83.8,overcast clouds,-8.4667,118.7167,
